WARNING:root:Automatically setting rho to 0.206
INFO:root:Iteration 156, violation 4.405
INFO:root:Iteration 157, violation 4.226
INFO:root:Iteration 158, violation 4.037
INFO:root:Iteration 159, violation 3.840
INFO:root:Iteration 160, violation 3.635
INFO:root:Iteration 161, violation 3.423
INFO:root:Iteration 162, violation 3.205
INFO:root:Iteration 163, violation 2.982
INFO:root:Iteration 164, violation 2.754
INFO:root:Iteration 165, violation 2.706
INFO:root:Iteration 166, violation 2.711
INFO:root:Iteration 167, violation 2.808
INFO:root:Iteration 168, violation 3.227
INFO:root:Iteration 169, violation 3.629
INFO:root:Iteration 170, violation 4.011
INFO:root:Iteration 171, violation 4.372
INFO:root:Iteration 172, violation 4.711
INFO:root:Iteration 173, violation 5.024
INFO:root:Iteration 174, violation 5.312
INFO:root:Iteration 175, violation 5.572
INFO:root:Iteration 176, violation 5.804
INFO:root:Iteration 177, violation 6.006
INFO:root:Iteration 178, violation 6.179
INFO:root:Iteration 179, violation 6.321
INFO:root:Iteration 180, violation 6.432
INFO:root:Iteration 181, violation 6.514
INFO:root:Iteration 182, violation 6.564
INFO:root:Iteration 183, violation 6.585
INFO:root:Iteration 184, violation 6.577
INFO:root:Iteration 185, violation 6.541
INFO:root:Iteration 186, violation 6.477
INFO:root:Iteration 187, violation 6.387
INFO:root:Iteration 188, violation 6.272
INFO:root:Iteration 189, violation 6.135
INFO:root:Iteration 190, violation 5.976
INFO:root:Iteration 191, violation 5.798
INFO:root:Iteration 192, violation 5.602
INFO:root:Iteration 193, violation 5.390
INFO:root:Iteration 194, violation 5.165
INFO:root:Iteration 195, violation 4.929
INFO:root:Iteration 196, violation 4.684
INFO:root:Iteration 197, violation 4.433
INFO:root:Iteration 198, violation 4.176
INFO:root:Iteration 199, violation 3.918
INFO:root:Iteration 200, violation 3.769
INFO:root:Iteration 201, violation 3.983
INFO:root:Iteration 202, violation 4.214
INFO:root:Iteration 203, violation 4.434
INFO:root:Iteration 204, violation 4.644
INFO:root:Iteration 205, violation 4.840
INFO:root:Iteration 206, violation 5.023
INFO:root:Iteration 207, violation 5.190
INFO:root:Iteration 208, violation 5.341
INFO:root:Iteration 209, violation 5.474
INFO:root:Iteration 210, violation 5.590
INFO:root:Iteration 211, violation 5.686
INFO:root:Iteration 212, violation 5.763
INFO:root:Iteration 213, violation 5.820
INFO:root:Iteration 214, violation 5.857
INFO:root:Iteration 215, violation 5.873
INFO:root:Iteration 216, violation 5.869
INFO:root:Iteration 217, violation 5.845
INFO:root:Iteration 218, violation 5.800
INFO:root:Iteration 219, violation 5.737
INFO:root:Iteration 220, violation 5.654
INFO:root:Iteration 221, violation 5.553
INFO:root:Iteration 222, violation 5.434
INFO:root:Iteration 223, violation 5.299
INFO:root:Iteration 224, violation 5.148
INFO:root:Iteration 225, violation 4.982
INFO:root:Iteration 226, violation 4.804
INFO:root:Iteration 227, violation 4.613
INFO:root:Iteration 228, violation 4.411
INFO:root:Iteration 229, violation 4.199
INFO:root:Iteration 230, violation 3.980
INFO:root:Iteration 231, violation 3.753
INFO:root:Iteration 232, violation 3.522
INFO:root:Iteration 233, violation 3.286
INFO:root:Iteration 234, violation 3.048
INFO:root:Iteration 235, violation 2.808
INFO:root:Iteration 236, violation 2.569
INFO:root:Iteration 237, violation 2.563
INFO:root:Iteration 238, violation 2.628
INFO:root:Iteration 239, violation 2.683
INFO:root:Iteration 240, violation 2.728
INFO:root:Iteration 241, violation 2.762
INFO:root:Iteration 242, violation 2.785
INFO:root:Iteration 243, violation 2.795
INFO:root:Iteration 244, violation 2.793
INFO:root:Iteration 245, violation 2.777
INFO:root:Iteration 246, violation 2.748
INFO:root:Iteration 247, violation 2.706
INFO:root:Iteration 248, violation 2.649
INFO:root:Iteration 249, violation 2.578
INFO:root:Iteration 250, violation 2.494
INFO:root:Iteration 251, violation 2.415
INFO:root:Iteration 252, violation 2.333
INFO:root:Iteration 253, violation 2.363
INFO:root:Iteration 254, violation 2.400
INFO:root:Iteration 255, violation 2.426
INFO:root:Iteration 256, violation 2.442
INFO:root:Iteration 257, violation 2.448
INFO:root:Iteration 258, violation 2.444
INFO:root:Iteration 259, violation 2.430
INFO:root:Iteration 260, violation 2.408
INFO:root:Iteration 261, violation 2.468
INFO:root:Iteration 262, violation 2.569
INFO:root:Iteration 263, violation 2.661
INFO:root:Iteration 264, violation 2.745
INFO:root:Iteration 265, violation 2.822
INFO:root:Iteration 266, violation 2.890
INFO:root:Iteration 267, violation 2.949
INFO:root:Iteration 268, violation 3.000
INFO:root:Iteration 269, violation 3.043
INFO:root:Iteration 270, violation 3.078
INFO:root:Iteration 271, violation 3.104
INFO:root:Iteration 272, violation 3.122
INFO:root:Iteration 273, violation 3.132
INFO:root:Iteration 274, violation 3.133
INFO:root:Iteration 275, violation 3.127
INFO:root:Iteration 276, violation 3.114
INFO:root:Iteration 277, violation 3.093
INFO:root:Iteration 278, violation 3.065
INFO:root:Iteration 279, violation 3.160
INFO:root:Iteration 280, violation 3.316
INFO:root:Iteration 281, violation 3.460
INFO:root:Iteration 282, violation 3.591
INFO:root:Iteration 283, violation 3.708
INFO:root:Iteration 284, violation 3.812
INFO:root:Iteration 285, violation 3.901
INFO:root:Iteration 286, violation 3.976
INFO:root:Iteration 287, violation 4.037
INFO:root:Iteration 288, violation 4.082
INFO:root:Iteration 289, violation 4.113
INFO:root:Iteration 290, violation 4.130
INFO:root:Iteration 291, violation 4.132
INFO:root:Iteration 292, violation 4.120
INFO:root:Iteration 293, violation 4.094
INFO:root:Iteration 294, violation 4.055
INFO:root:Iteration 295, violation 4.003
INFO:root:Iteration 296, violation 3.940
INFO:root:Iteration 297, violation 3.866
INFO:root:Iteration 298, violation 3.783
INFO:root:Iteration 299, violation 3.692
INFO:root:Iteration 300, violation 3.594
INFO:root:Iteration 301, violation 3.490
INFO:root:Iteration 302, violation 3.382
INFO:root:Iteration 303, violation 3.358
INFO:root:Iteration 304, violation 3.535
INFO:root:Iteration 305, violation 3.707
INFO:root:Iteration 306, violation 3.870
INFO:root:Iteration 307, violation 4.025
INFO:root:Iteration 308, violation 4.169
INFO:root:Iteration 309, violation 4.302
INFO:root:Iteration 310, violation 4.423
INFO:root:Iteration 311, violation 4.531
INFO:root:Iteration 312, violation 4.625
INFO:root:Iteration 313, violation 4.705
INFO:root:Iteration 314, violation 4.769
INFO:root:Iteration 315, violation 4.817
INFO:root:Iteration 316, violation 4.850
INFO:root:Iteration 317, violation 4.866
INFO:root:Iteration 318, violation 4.866
INFO:root:Iteration 319, violation 4.850
INFO:root:Iteration 320, violation 4.818
INFO:root:Iteration 321, violation 4.770
INFO:root:Iteration 322, violation 4.707
INFO:root:Iteration 323, violation 4.629
INFO:root:Iteration 324, violation 4.537
INFO:root:Iteration 325, violation 4.431
INFO:root:Iteration 326, violation 4.313
INFO:root:Iteration 327, violation 4.183
INFO:root:Iteration 328, violation 4.043
INFO:root:Iteration 329, violation 3.893
INFO:root:Iteration 330, violation 3.734
INFO:root:Iteration 331, violation 3.569
INFO:root:Iteration 332, violation 3.397
INFO:root:Iteration 333, violation 3.220
INFO:root:Iteration 334, violation 3.040
INFO:root:Iteration 335, violation 2.858
INFO:root:Iteration 336, violation 2.734
INFO:root:Iteration 337, violation 2.790
INFO:root:Iteration 338, violation 2.835
INFO:root:Iteration 339, violation 2.869
INFO:root:Iteration 340, violation 2.892
INFO:root:Iteration 341, violation 2.904
INFO:root:Iteration 342, violation 2.904
INFO:root:Iteration 343, violation 2.893
INFO:root:Iteration 344, violation 2.871
INFO:root:Iteration 345, violation 2.837
INFO:root:Iteration 346, violation 2.793
INFO:root:Iteration 347, violation 2.738
INFO:root:Iteration 348, violation 2.672
INFO:root:Iteration 349, violation 2.597
INFO:root:Iteration 350, violation 2.512
INFO:root:Iteration 351, violation 2.418
INFO:root:Iteration 352, violation 2.324
INFO:root:Iteration 353, violation 2.391
INFO:root:Iteration 354, violation 2.451
INFO:root:Iteration 355, violation 2.506
INFO:root:Iteration 356, violation 2.555
INFO:root:Iteration 357, violation 2.597
INFO:root:Iteration 358, violation 2.632
INFO:root:Iteration 359, violation 2.661
INFO:root:Iteration 360, violation 2.683
INFO:root:Iteration 361, violation 2.697
INFO:root:Iteration 362, violation 2.704
INFO:root:Iteration 363, violation 2.703
INFO:root:Iteration 364, violation 2.695
INFO:root:Iteration 365, violation 2.679
INFO:root:Iteration 366, violation 2.655
