WARNING:root:Automatically setting rho to 0.246
INFO:root:Starting ADMM phase 1 with tol 0.010
INFO:root:Starting ADMM phase 2 with rho 0.246
INFO:root:Iteration 156, violation 31.488
INFO:root:Iteration 157, violation 31.419
INFO:root:Iteration 158, violation 31.324
INFO:root:Iteration 159, violation 31.206
INFO:root:Iteration 160, violation 31.066
INFO:root:Iteration 161, violation 30.905
INFO:root:Iteration 162, violation 30.726
INFO:root:Iteration 163, violation 30.532
INFO:root:Iteration 164, violation 30.324
INFO:root:Iteration 165, violation 30.106
INFO:root:Iteration 166, violation 29.880
INFO:root:Iteration 167, violation 29.981
INFO:root:Iteration 168, violation 30.161
INFO:root:Iteration 169, violation 30.333
INFO:root:Iteration 170, violation 30.494
INFO:root:Iteration 171, violation 30.644
INFO:root:Iteration 172, violation 30.782
INFO:root:Iteration 173, violation 30.906
INFO:root:Iteration 174, violation 31.017
INFO:root:Iteration 175, violation 31.112
INFO:root:Iteration 176, violation 31.192
INFO:root:Iteration 177, violation 31.255
INFO:root:Iteration 178, violation 31.302
INFO:root:Iteration 179, violation 31.331
INFO:root:Iteration 180, violation 31.343
INFO:root:Iteration 181, violation 31.337
INFO:root:Iteration 182, violation 31.314
INFO:root:Iteration 183, violation 31.273
INFO:root:Iteration 184, violation 31.215
INFO:root:Iteration 185, violation 31.141
INFO:root:Iteration 186, violation 31.050
INFO:root:Iteration 187, violation 30.943
INFO:root:Iteration 188, violation 30.822
INFO:root:Iteration 189, violation 30.687
INFO:root:Iteration 190, violation 30.539
INFO:root:Iteration 191, violation 30.380
INFO:root:Iteration 192, violation 30.209
INFO:root:Iteration 193, violation 30.030
INFO:root:Iteration 194, violation 29.842
INFO:root:Iteration 195, violation 29.647
INFO:root:Iteration 196, violation 29.742
INFO:root:Iteration 197, violation 30.045
INFO:root:Iteration 198, violation 30.352
INFO:root:Iteration 199, violation 30.661
INFO:root:Iteration 200, violation 30.969
INFO:root:Iteration 201, violation 31.274
INFO:root:Iteration 202, violation 31.572
INFO:root:Iteration 203, violation 31.860
INFO:root:Iteration 204, violation 32.137
INFO:root:Iteration 205, violation 32.398
INFO:root:Iteration 206, violation 32.643
INFO:root:Iteration 207, violation 32.867
INFO:root:Iteration 208, violation 33.070
INFO:root:Iteration 209, violation 33.248
INFO:root:Iteration 210, violation 33.401
INFO:root:Iteration 211, violation 33.525
INFO:root:Iteration 212, violation 33.621
INFO:root:Iteration 213, violation 33.687
INFO:root:Iteration 214, violation 33.721
INFO:root:Iteration 215, violation 33.724
INFO:root:Iteration 216, violation 33.694
INFO:root:Iteration 217, violation 33.632
INFO:root:Iteration 218, violation 33.537
INFO:root:Iteration 219, violation 33.411
INFO:root:Iteration 220, violation 33.253
INFO:root:Iteration 221, violation 33.065
INFO:root:Iteration 222, violation 32.847
INFO:root:Iteration 223, violation 32.601
INFO:root:Iteration 224, violation 32.329
INFO:root:Iteration 225, violation 32.032
INFO:root:Iteration 226, violation 31.711
INFO:root:Iteration 227, violation 31.370
INFO:root:Iteration 228, violation 31.009
INFO:root:Iteration 229, violation 30.632
INFO:root:Iteration 230, violation 30.241
INFO:root:Iteration 231, violation 29.837
INFO:root:Iteration 232, violation 29.424
INFO:root:Iteration 233, violation 29.004
INFO:root:Iteration 234, violation 28.579
INFO:root:Iteration 235, violation 28.153
INFO:root:Iteration 236, violation 27.726
INFO:root:Iteration 237, violation 27.302
INFO:root:Iteration 238, violation 26.882
INFO:root:Iteration 239, violation 26.469
INFO:root:Iteration 240, violation 26.066
INFO:root:Iteration 241, violation 25.672
INFO:root:Iteration 242, violation 25.291
INFO:root:Iteration 243, violation 24.924
INFO:root:Iteration 244, violation 24.571
INFO:root:Iteration 245, violation 24.235
INFO:root:Iteration 246, violation 23.916
INFO:root:Iteration 247, violation 23.615
INFO:root:Iteration 248, violation 23.332
